Mina Kian_present.wav
0.150 0.045 ð
0.210 0.045 ɪ
0.270 0.045 s
0.360 0.045 ɪ
0.420 0.045 z
0.510 0.045 m
0.570 0.045 i
0.660 0.045 n
0.750 0.045 ɪ
0.810 0.045 z
0.900 0.045 tɕ
0.990 0.045 æ
1.290 0.045 s
1.350 0.045 k
2.070 0.045 w
2.130 0.045 ɑ
2.190 0.045 z
2.280 0.045 m
2.340 0.045 i
2.460 0.045 n
2.520 0.045 i
2.640 0.045 h
2.730 0.045 ɪ
2.850 0.045 ɹ
3.390 0.045 l
3.450 0.045 ɛ
3.480 0.045 tʰ
3.570 0.045 s
3.690 0.045 l
3.750 0.045 ʌ
3.810 0.045 n
3.900 0.045 ə
3.960 0.045 b̥
4.020 0.045 a
4.050 0.045 w
4.140 0.045 ɾ
4.170 0.045 h
4.200 0.045 ɹ̩
4.320 0.045 f
4.410 0.045 æ
4.560 0.045 s
4.650 0.045 ə
4.710 0.045 n
4.800 0.045 e
4.890 0.045 ɾʲ
4.950 0.045 ɪ
4.980 0.045 ŋ
5.100 0.045 ɹ
5.190 0.045 i
5.310 0.045 z
5.400 0.045 ɹ̩
5.550 0.045 s
5.700 0.045 t
5.790 0.045 ɹ̩
5.940 0.045 n
6.000 0.045 i
6.810 0.045 m
6.870 0.045 i
6.990 0.045 n
7.080 0.045 ə
7.560 0.045 p
7.650 0.045 ʁ
7.680 0.045 l
7.740 0.045 i
7.860 0.045 z
7.920 0.045 ə
7.980 0.045 n
8.070 0.045 l
8.130 0.045 a
8.160 0.045 j
8.220 0.045 tʰ
8.310 0.045 n
8.400 0.045 ʌ
8.670 0.045 s

Amy O'Connell.wav
0.150 0.045 ʔ
0.210 0.045 ɪ
0.300 0.045 s
0.360 0.045 ɪ
0.450 0.045 z
0.570 0.045 e
0.660 0.045 n
0.780 0.045 iː
0.960 0.045 d
1.050 0.045 æ
1.320 0.045 s
1.410 0.045 k
2.160 0.045 e
2.220 0.045 j
2.280 0.045 n
2.310 0.045 mʲ
2.340 0.045 i
2.490 0.045 ɪ
2.580 0.045 z
2.640 0.045 ə
2.790 0.045 f
2.850 0.045 ɛ
3.060 0.045 h
3.120 0.045 ɪ
3.180 0.045 ɹ
3.360 0.045 p
3.480 0.045 i
3.870 0.045 ɕ
3.960 0.045 i
4.260 0.045 t
4.320 0.045 ɨ
4.680 0.045 d
5.370 0.045 h
5.460 0.045 ɹ̩
5.610 0.045 ɹ
5.670 0.045 i
5.820 0.045 z
5.880 0.045 ɑ
6.060 0.045 tʂʰ
6.120 0.045 ɹ
6.180 0.045 o
6.240 0.045 l̪
6.330 0.045 p
6.390 0.045 ə
6.480 0.045 s
6.540 0.045 ə
6.630 0.045 z
6.690 0.045 ɑ
6.780 0.045 n
6.840 0.045 d
6.900 0.045 ə
6.960 0.045 v
7.020 0.045 æ
7.110 0.045 l
7.170 0.045 ə
7.260 0.045 z
7.320 0.045 i
7.470 0.045 m
7.530 0.045 i
8.010 0.045 f
8.070 0.045 l
8.130 0.045 ɑ
8.340 0.045 ʂ
8.430 0.045 ə
8.520 0.045 n
9.030 0.045 ɻ̩
9.150 0.045 ɹ
9.210 0.045 o
9.300 0.045 w
9.360 0.045 b̞
9.420 0.045 ɑ
9.570 0.045 tʰ
9.690 0.045 s
9.720 0.045 t
9.780 0.045 æ
9.840 0.045 ɾ
9.870 0.045 ɾʲ
9.900 0.045 i
